id,avg_daily_demand,demand_std,safety_stock,reorder_point,annual_demand,eoq
FOODS_1_001_CA_1_validation,0.7321698667938744,1.3122802829414375,3.7386472271032813,5.935156827484905,267.24200137976413,115.59455034294741
FOODS_1_001_CA_2_validation,0.972183134190481,2.7627351695186007,7.870949762035229,10.787499164606672,354.84684397952554,133.2003836292384
FOODS_1_001_CA_3_validation,1.092808637607172,2.4738596294325874,7.047951999316627,10.326377912138142,398.8751527266178,141.2223694615371
FOODS_1_001_CA_4_validation,0.42687551791983597,0.5907288661957323,1.6829688491716055,2.963595402931113,155.80956404074013,88.26368563592281
FOODS_1_001_TX_1_validation,0.4168433704232955,0.22553775548253616,0.6425503111666512,1.8930804224365376,152.14783020450287,87.22036178682787
FOODS_1_001_TX_2_validation,0.6110035227642735,0.8147779982344444,2.321278116726766,4.154288685019587,223.01628580895982,105.5974161163425
FOODS_1_001_TX_3_validation,0.3923607014661979,0.6323886019588684,1.8016561887722529,2.9787382931708466,143.21165603516224,84.62022690679878
FOODS_1_001_WI_1_validation,0.4677562889512396,1.5446210507949392,4.4005791167842805,5.803847983637999,170.73104546720245,92.39346445155157
FOODS_1_001_WI_2_validation,0.36450059721667705,0.8282114199646212,2.3595495329439338,3.453051324593965,133.04271798408712,81.56062713837085
FOODS_1_001_WI_3_validation,0.3017509613082009,0.8003779161829023,2.280252714202708,3.185505598127311,110.13910087749332,74.20886095254842
FOODS_1_002_CA_1_validation,0.4231315208480747,0.7265659342582437,2.06996458815461,3.3393591506988343,154.44300510954727,87.87576603067176
FOODS_1_002_CA_2_validation,0.7354874124291298,0.9165675760833256,2.6112735757149403,4.817735813002329,268.4529055366324,115.85614043645515
FOODS_1_002_CA_3_validation,0.4033711888949278,0.5688697398828212,1.620692852923697,2.8308064196084803,147.23048394664863,85.79932515662598
FOODS_1_002_CA_4_validation,0.3788912143438071,0.5919022041904983,1.6863116539806164,2.822985297012038,138.2952932354896,83.15506395749136
FOODS_1_002_TX_1_validation,0.15393797051896788,0.27931420925136957,0.7957578175048906,1.2575717290617943,56.18735923942327,53.00347122567695
